model,fold,log_loss,brier,accuracy
ridge_lr,39,0.7087264683683242,0.25687465022805167,0.5348837209302325
elasticnet,39,0.7085214735234533,0.2568177629400059,0.5348837209302325
logistic,39,0.714729729089764,0.25928415241774094,0.5406976744186046
xgboost,39,0.6986591499318688,0.25131696462631226,0.5523255813953488
lasso_lr,40,0.6821778095768455,0.2419933672910766,0.5952797202797203
ridge_lr,40,0.6826590759858451,0.24199991805082288,0.6118881118881119
elasticnet,40,0.6819138273662615,0.2418435688871332,0.5979020979020979
logistic,40,0.6832382673397749,0.24228723812247469,0.6092657342657343
xgboost,40,0.6729669590681352,0.23903992772102356,0.597027972027972
lasso_lr,41,0.6661389838477995,0.23674854830750625,0.6001540832049307
ridge_lr,41,0.6665330611329413,0.2369391491480306,0.588597842835131
elasticnet,41,0.6665141341813574,0.2369300067796634,0.5955315870570108
logistic,41,0.6677622127550137,0.23746333489242966,0.5963020030816641
xgboost,41,0.6561689223568931,0.23171447217464447,0.6363636363636364
lasso_lr,42,0.6331539127532491,0.2219180157280112,0.6296477495107632
ridge_lr,42,0.6337326775942542,0.22225666801228167,0.62279843444227
elasticnet,42,0.633068712459171,0.22190498369286255,0.6281800391389433
logistic,42,0.6331633954926744,0.22198196076958623,0.62279843444227
xgboost,42,0.6377158479915926,0.22333310544490814,0.6340508806262231
lasso_lr,43,0.6355154796243989,0.22225320748313707,0.6474019088016967
ridge_lr,43,0.6382757193988917,0.2233814632362268,0.6458112407211029
elasticnet,43,0.6362118795887935,0.2225453113315633,0.6452810180275715
logistic,43,0.6392345611028034,0.2237981505713839,0.6458112407211029
xgboost,43,0.633339575961861,0.22105546295642853,0.6474019088016967
lasso_lr,44,0.6312278417254081,0.2205905658249085,0.6470588235294118
ridge_lr,44,0.6333968590719063,0.22157964291309123,0.6437291897891232
elasticnet,44,0.631975012628016,0.220890509535335,0.6448390677025527
logistic,44,0.6336773583322908,0.22170494764311058,0.6403995560488346
xgboost,44,0.6275474268037907,0.21908630430698395,0.646503884572697
lasso_lr,45,0.6395365823596201,0.2248318278644992,0.6330472103004292
ridge_lr,45,0.6391695843736899,0.2246359678068565,0.630901287553648
elasticnet,45,0.6395967439900856,0.22486883192756957,0.6266094420600858
logistic,45,0.6391872523020384,0.22464324449230405,0.630901287553648
xgboost,45,0.6448152484497826,0.22739416360855103,0.6201716738197425
lasso_lr,46,0.6720025109923072,0.2400675795261582,0.5633802816901409
ridge_lr,46,0.6729526822963786,0.24048093274910112,0.5647887323943662
elasticnet,46,0.6724328027423758,0.24027725799898408,0.5661971830985916
logistic,46,0.6729860737765008,0.24049580024738904,0.5647887323943662
xgboost,46,0.6572793915180662,0.2333359569311142,0.6070422535211267
lasso_lr,47,0.6040649718620749,0.20750563328523666,0.6693548387096774
ridge_lr,47,0.6017327628783077,0.20652791857081473,0.6854838709677419
elasticnet,47,0.6038288292817403,0.20741641719020548,0.6693548387096774
logistic,47,0.6008305685884069,0.2062057478123263,0.6854838709677419
xgboost,47,0.6274864474320752,0.21798604726791382,0.6854838709677419
lasso_lr,48,0.6070870401002363,0.2105184755620549,0.6971830985915493
ridge_lr,48,0.6041320426684125,0.20941693394853786,0.6971830985915493
elasticnet,48,0.6067470554325899,0.21043817055121605,0.6971830985915493
logistic,48,0.6041582687857766,0.20942896922828222,0.6971830985915493
xgboost,48,0.6088877819728054,0.21079187095165253,0.6443661971830986
lasso_lr,49,0.5998622398514623,0.20637928736697272,0.7
ridge_lr,49,0.5987260211929976,0.20593097370487712,0.7027777777777777
elasticnet,49,0.5997721346184371,0.20639533000205693,0.7
logistic,49,0.597591076540691,0.20544965529138126,0.6972222222222222
xgboost,49,0.6072707911516554,0.21016639471054077,0.6708333333333333
lasso_lr,50,0.6043309357457102,0.20927254383361124,0.6584507042253521
ridge_lr,50,0.604982259978099,0.20950821422203242,0.6566901408450704
elasticnet,50,0.6046588059693226,0.20942241134618755,0.6566901408450704
logistic,50,0.6050161767497535,0.20952390135697016,0.6566901408450704
xgboost,50,0.5999363396948026,0.2070905864238739,0.6751760563380281
lasso_lr,51,0.6073028544403398,0.21020207083341028,0.6666666666666666
ridge_lr,51,0.6076165036462273,0.21023889323100153,0.6645021645021645
elasticnet,51,0.6074043203365443,0.21024881959995165,0.6688311688311688
logistic,51,0.6076120172778275,0.21023710970646442,0.6645021645021645
xgboost,51,0.611914987861584,0.2122151404619217,0.6655844155844156
lasso_lr,52,0.5951464359512629,0.20447222673521803,0.6892688679245284
ridge_lr,52,0.5948450026683249,0.2044038091051813,0.6863207547169812
elasticnet,52,0.595178448221363,0.20448102368657786,0.6886792452830188
logistic,52,0.5951778318174789,0.20453156640415476,0.6910377358490566
xgboost,52,0.5975176123135583,0.2055862694978714,0.691627358490566
lasso_lr,53,0.6214844572356918,0.21654083785479109,0.6583783783783784
ridge_lr,53,0.6206704510523857,0.21628326684500507,0.6562162162162162
elasticnet,53,0.6218380690844366,0.21667446557579573,0.6583783783783784
logistic,53,0.6206938611007795,0.21629045922669887,0.6551351351351351
xgboost,53,0.6250547156486553,0.2178288847208023,0.6416216216216216
lasso_lr,54,0.6025830234143602,0.20921103212936362,0.6655092592592593
ridge_lr,54,0.6033379426063645,0.20952505300809446,0.6655092592592593
elasticnet,54,0.6026726205255925,0.20927190171626012,0.6643518518518519
logistic,54,0.603359339087352,0.20953878778054716,0.6666666666666666
xgboost,54,0.6045284781952475,0.2097562849521637,0.6753472222222222
lasso_lr,55,0.6438647680071842,0.22704235679546977,0.6189591078066915
ridge_lr,55,0.6437530659206766,0.2270445449266596,0.6133828996282528
elasticnet,55,0.6441297005681689,0.22715566023507056,0.6189591078066915
logistic,55,0.643777402431488,0.22705380724871757,0.6143122676579925
xgboost,55,0.6308517123293363,0.22128954529762268,0.6328996282527881
lasso_lr,56,0.6777359427959461,0.24189420874432416,0.5805739514348786
ridge_lr,56,0.6777096420752347,0.2418593772149507,0.5838852097130243
elasticnet,56,0.67782827375521,0.2419328891688595,0.5805739514348786
logistic,56,0.6777316167542884,0.24187030455684091,0.5838852097130243
xgboost,56,0.6702001825193578,0.238224595785141,0.6048565121412803
lasso_lr,57,0.6865861640930031,0.24367912534910002,0.6060070671378092
ridge_lr,57,0.683830307490173,0.24227361766190625,0.6201413427561837
elasticnet,57,0.6863309417667636,0.24356553139958703,0.607773851590106
logistic,57,0.6837875360665341,0.24225702718475645,0.6201413427561837
xgboost,57,0.6891631959814838,0.24536025524139404,0.6042402826855123
lasso_lr,58,0.6705878238531929,0.23936295797322857,0.5828220858895705
ridge_lr,58,0.6735205675277699,0.24057734465916633,0.5766871165644172
elasticnet,58,0.6704598837997149,0.23931639051864503,0.588957055214724
logistic,58,0.6735257348749962,0.2405782680047916,0.5766871165644172
xgboost,58,0.685812648178976,0.24644187092781067,0.5521472392638037
lasso_lr,59,0.6247303152145426,0.2154866853725388,0.6731843575418994
ridge_lr,59,0.6257422317089335,0.21602593253940128,0.6731843575418994
elasticnet,59,0.6252007507778442,0.21568956329169117,0.6703910614525139
logistic,59,0.6257890268359301,0.21604063221917783,0.6731843575418994
