model,fold,log_loss,brier,accuracy
xgboost,47,0.6087734167048017,0.20932304859161377,0.7137096774193549
lasso_lr,48,0.6138957423120607,0.2135041726728677,0.6267605633802817
ridge_lr,48,0.6045822831813636,0.2090142125246014,0.6619718309859155
elasticnet,48,0.6145304609421071,0.21380555375326515,0.6267605633802817
logistic,48,0.5987716235962938,0.20726291498285482,0.7112676056338029
xgboost,48,0.6118097492076725,0.21240870654582977,0.6654929577464789
lasso_lr,49,0.6131732110197045,0.21238522884287664,0.6666666666666666
ridge_lr,49,0.6044466345216636,0.20863610621389822,0.6777777777777778
elasticnet,49,0.6123560817589753,0.21202931233351632,0.6722222222222223
logistic,49,0.5989374722945198,0.20570619927442274,0.6972222222222222
xgboost,49,0.6086559206931459,0.21068064868450165,0.6666666666666666
lasso_lr,50,0.6004499311454559,0.20690199718801294,0.6725352112676056
ridge_lr,50,0.6000853752820813,0.20692147951038845,0.6795774647887324
elasticnet,50,0.6002682462596101,0.20685918204932482,0.6742957746478874
logistic,50,0.6030225182192143,0.20842096368122853,0.6654929577464789
xgboost,50,0.6007638467435764,0.2070741504430771,0.6751760563380281
lasso_lr,51,0.6082092283162283,0.21053964262619018,0.658008658008658
ridge_lr,51,0.605781429366801,0.20937968765941373,0.6666666666666666
elasticnet,51,0.6079609898226351,0.21044737906620048,0.6569264069264069
logistic,51,0.6068927250558095,0.2099558726516107,0.6753246753246753
xgboost,51,0.6101050259051556,0.2114904820919037,0.6628787878787878
lasso_lr,52,0.600085646934091,0.2063821109011348,0.6804245283018868
ridge_lr,52,0.6008834631871206,0.2066599796440465,0.6851415094339622
elasticnet,52,0.6000637761672947,0.20634758507181772,0.6780660377358491
logistic,52,0.5979757723159299,0.20552203701162416,0.6886792452830188
xgboost,52,0.6029670574299251,0.20762242376804352,0.6910377358490566
lasso_lr,53,0.6220119145105297,0.2169398305146885,0.6464864864864864
ridge_lr,53,0.623952614870634,0.21770058943474746,0.654054054054054
elasticnet,53,0.6221466388813236,0.216999394631256,0.6486486486486487
logistic,53,0.6238661475367142,0.21781888575767586,0.654054054054054
xgboost,53,0.6259006894620546,0.21845512092113495,0.6383783783783784
lasso_lr,54,0.5995006121667666,0.20712427287880633,0.6736111111111112
ridge_lr,54,0.5979675119966001,0.20652340561933558,0.6828703703703703
elasticnet,54,0.5990878269737754,0.20695457440727907,0.6724537037037037
logistic,54,0.5999408860400506,0.20776406332774539,0.6712962962962963
xgboost,54,0.6030802172370244,0.20898494124412537,0.6846064814814815
lasso_lr,55,0.6344878282255046,0.22285859707107478,0.6282527881040892
ridge_lr,55,0.6342269229217334,0.222654052319565,0.6263940520446096
elasticnet,55,0.6342603090517,0.22275100004281842,0.6319702602230484
logistic,55,0.6336822696549195,0.2225579945603188,0.6022304832713755
xgboost,55,0.6312123418963974,0.22119279205799103,0.6217472118959108
lasso_lr,56,0.6624787341101158,0.2346055520541043,0.6026490066225165
ridge_lr,56,0.6641292122298801,0.23539414835925768,0.5916114790286976
elasticnet,56,0.6626640364242137,0.23469721914516736,0.6026490066225165
logistic,56,0.6685920233853094,0.2376189475047136,0.5993377483443708
xgboost,56,0.6636385839802905,0.2353077083826065,0.5971302428256071
lasso_lr,57,0.6833050065273389,0.24209055234296656,0.6378091872791519
ridge_lr,57,0.6889215697808246,0.24441105264730903,0.6183745583038869
elasticnet,57,0.6837218400813404,0.2422216692482717,0.6395759717314488
logistic,57,0.6784914526335297,0.24035973114444206,0.6130742049469965
xgboost,57,0.6877154087662112,0.2447783201932907,0.6095406360424028
lasso_lr,58,0.6749358739575319,0.24205342737100588,0.5674846625766872
ridge_lr,58,0.6786449270266457,0.24363710593292523,0.588957055214724
elasticnet,58,0.6756475535379829,0.24238834638206752,0.5644171779141104
logistic,58,0.6869650112545214,0.24718079497667905,0.5766871165644172
xgboost,58,0.6875788691612019,0.24769727885723114,0.5306748466257669
lasso_lr,59,0.6198933359363249,0.21412837842661236,0.6899441340782123
ridge_lr,59,0.6230144478738128,0.21547961389923606,0.664804469273743
elasticnet,59,0.6202026063033309,0.21424537492553355,0.6899441340782123
logistic,59,0.6316335369419072,0.21842920923711967,0.6662011173184358
xgboost,59,0.6199100094751863,0.2149628847837448,0.6899441340782123
lasso_lr,60,0.6386283875450784,0.22530267824998598,0.6025236593059937
ridge_lr,60,0.6371010017841591,0.22463885573106332,0.6056782334384858
elasticnet,60,0.6391876308016696,0.22552517345348433,0.6025236593059937
logistic,60,0.6366062432556573,0.22339739669583497,0.6356466876971609
xgboost,60,0.6322123466342605,0.22210708260536194,0.6182965299684543
lasso_lr,61,0.6333631953244033,0.22248187812503475,0.6142857142857143
ridge_lr,61,0.6368018614084693,0.22414585630566278,0.6142857142857143
elasticnet,61,0.6334200581124226,0.222556488017357,0.6190476190476191
logistic,61,0.6416950783395412,0.22657483360946878,0.6095238095238096
xgboost,61,0.6496043354709072,0.22987471520900726,0.6166666666666667
lasso_lr,62,0.6590232725704775,0.23481046079545415,0.5714285714285714
ridge_lr,62,0.6703687231830555,0.24037607355376692,0.5476190476190477
elasticnet,62,0.659311395470375,0.2349657598724315,0.5714285714285714
logistic,62,0.6822805727461643,0.24605591432585114,0.5714285714285714
xgboost,62,0.6732985180751945,0.24293838441371918,0.5119047619047619
lasso_lr,63,0.7766495572981347,0.28804312728847226,0.5
ridge_lr,63,0.8096136648157554,0.30121869034120263,0.5
elasticnet,63,0.7805486838905699,0.2896298466767512,0.5
logistic,63,0.8628782094153005,0.31983384497355183,0.5
