question,team1,team2,end_date,year,p_model,p_market,edge,result,bet_direction,kelly_size,stake,directional_pnl,total_pnl,cumulative_pnl,model_correct,elo_correct,volume
LoL: DRX Challengers vs BNK FearX Youth (BO3) - LCK Challengers League Kickoff Play-In,DRX Challengers,BNK FearX Youth (BO3) - LCK Challengers League Kickoff Play-In,2026-02-02,2026,0.5082,0.38856185943933125,0.1196,1,YES,0.0465,465.0,281.0045,281.0045,9866.4768,1,0,358470.73
LoL: HANJIN BRION Challengers vs DRX Challengers (BO3) - LCK Challengers League Kickoff Play-In,HANJIN BRION Challengers,DRX Challengers (BO3) - LCK Challengers League Kickoff Play-In,2026-02-03,2026,0.4331,0.45213635699031396,-0.019,0,PASS,0.0,0.0,0.0,0.0,9866.4768,1,1,323543.87
LoL: T1 Academy vs Hanwha Life Esports Challengers (BO3) - LCK Challengers League Kickoff Play-In,T1 Academy,Hanwha Life Esports Challengers (BO3) - LCK Challengers League Kickoff Play-In,2026-02-03,2026,0.8237,0.743310721420186,0.0804,0,YES,0.0744,744.0,-557.2818,-557.2818,9309.195,0,0,423516.98
LoL: Fluxo W7M vs Leviatan Esports (BO3) - CBLOL Cup Play-In,Fluxo W7M,Leviatan Esports (BO3) - CBLOL Cup Play-In,2026-02-03,2026,0.3712,0.3664428918593045,0.0048,0,PASS,0.0,0.0,0.0,0.0,9309.195,1,1,121332.02
LoL: Vivo Keyd Stars vs paiN Gaming (BO3) - CBLOL Cup Play-In,Vivo Keyd Stars,paiN Gaming (BO3) - CBLOL Cup Play-In,2026-02-03,2026,0.5507,0.5865785141289142,-0.0359,1,NO,0.0123,123.0,-51.7457,-51.7457,9257.4493,1,1,186292.6
LoL: Team Heretics vs Movistar KOI (BO1) - LEC Versus Regular Season,Team Heretics,Movistar KOI (BO1) - LEC Versus Regular Season,2026-02-03,2026,0.2486,0.21980003135276036,0.0288,1,YES,0.0076,76.0,58.9042,58.9042,9316.3535,0,0,843397.52
LoL: Shifters vs Karmine Corp (BO1) - LEC Versus Regular Season,Shifters,Karmine Corp (BO1) - LEC Versus Regular Season,2026-02-03,2026,0.2748,0.2270093728637663,0.0478,0,YES,0.0138,138.0,-32.0538,-32.0538,9284.2997,1,1,651309.68
LoL: Team Vitality vs G2 Esports (BO1) - LEC Versus Regular Season,Team Vitality,G2 Esports (BO1) - LEC Versus Regular Season,2026-02-03,2026,0.3441,0.24245955476219913,0.1016,0,YES,0.032,320.0,-79.3503,-79.3503,9204.9494,1,1,1192129.56
LoL: Invictus Gaming vs JD Gaming (BO3) - LPL Group Ascend,Invictus Gaming,JD Gaming (BO3) - LPL Group Ascend,2026-02-03,2026,0.4419,0.4210328752049267,0.0209,0,YES,0.0059,59.0,-25.2724,-25.2724,9179.677,1,1,919713.14
LoL: T1 Academy vs HANJIN BRION Challengers (BO5) - LCK Challengers League Kickoff Play-In,T1 Academy,HANJIN BRION Challengers (BO5) - LCK Challengers League Kickoff Play-In,2026-02-04,2026,0.7491,0.743310721420186,0.0058,1,PASS,0.0,0.0,0.0,0.0,9179.677,1,1,262874.32
LoL: Weibo Gaming vs Anyone's Legend (BO3) - LPL Group Ascend,Weibo Gaming,Anyone's Legend (BO3) - LPL Group Ascend,2026-02-04,2026,0.385,0.3737508779626634,0.0112,0,PASS,0.0,0.0,0.0,0.0,9179.677,1,1,1724214.75
LoL: EDward Gaming vs Team WE (BO3) - LPL Group Perseverance,EDward Gaming,Team WE (BO3) - LPL Group Perseverance,2026-02-04,2026,0.4336,0.5149078599408201,-0.0813,1,NO,0.0364,364.0,-179.3011,-179.3011,9000.3759,0,1,1186681.5
LoL: paiN Gaming vs Leviatan Esports (BO5) - CBLOL Cup Play-In,paiN Gaming,Leviatan Esports (BO5) - CBLOL Cup Play-In,2026-02-04,2026,0.5088,0.5397756579299412,-0.031,0,NO,0.011,110.0,58.5555,58.5555,9058.9315,0,0,238397.75
LoL: Ninjas in Pyjamas vs ThunderTalk Gaming (BO3) - LPL Group Perseverance,Ninjas in Pyjamas,ThunderTalk Gaming (BO3) - LPL Group Perseverance,2026-02-05,2026,0.7382,0.7471134340260068,-0.0089,1,PASS,0.0,0.0,0.0,0.0,9058.9315,1,1,256799.04
LoL: JD Gaming vs Top Esports (BO3) - LPL Group Ascend,JD Gaming,Top Esports (BO3) - LPL Group Ascend,2026-02-05,2026,0.5386,0.5369955101385361,0.0016,0,PASS,0.0,0.0,0.0,0.0,9058.9315,0,0,1277389.76
LoL: Anyone's Legend vs Bilibili Gaming (BO3) - LPL Group Ascend,Anyone's Legend,Bilibili Gaming (BO3) - LPL Group Ascend,2026-02-06,2026,0.5613,0.6854213058948845,-0.1241,1,NO,0.0433,433.0,-139.0135,-139.0135,8919.918,1,1,1229051.91
LoL: Invictus Gaming vs Weibo Gaming (BO3) - LPL Group Ascend,Invictus Gaming,Weibo Gaming (BO3) - LPL Group Ascend,2026-02-06,2026,0.4884,0.46300448986146386,0.0254,0,YES,0.0085,85.0,-39.9894,-39.9894,8879.9286,1,1,643415.28
LoL: FURIA Esports vs Leviatan Esports (BO3) - CBLOL Cup Playoffs,FURIA Esports,Leviatan Esports (BO3) - CBLOL Cup Playoffs,2026-02-07,2026,0.546,0.4329855165877592,0.113,1,YES,0.0472,472.0,264.1544,264.1544,9144.083,1,0,52818.26
LoL: LOUD vs Vivo Keyd Stars (BO3) - CBLOL Cup Playoffs,LOUD,Vivo Keyd Stars (BO3) - CBLOL Cup Playoffs,2026-02-07,2026,0.6904,0.7862946518621511,-0.0959,1,NO,0.0291,291.0,-63.6552,-63.6552,9080.4278,1,1,54027.59
LoL: SK Gaming vs Los Ratones (BO1) - LEC Versus Regular Season,SK Gaming,Los Ratones (BO1) - LEC Versus Regular Season,2026-02-07,2026,0.3971,0.28601711899725485,0.1111,0,YES,0.0371,371.0,-108.3852,-108.3852,8972.0426,1,1,600079.54
LoL: Shifters vs Karmine Corp Blue (BO1) - LEC Versus Regular Season,Shifters,Karmine Corp Blue (BO1) - LEC Versus Regular Season,2026-02-07,2026,0.4971,0.2270093728637663,0.2701,1,YES,0.0862,862.0,661.7801,661.7801,9633.8227,0,0,236715.75
LoL: Team Heretics vs Fnatic (BO1) - LEC Versus Regular Season,Team Heretics,Fnatic (BO1) - LEC Versus Regular Season,2026-02-07,2026,0.4237,0.21980003135276036,0.2039,1,YES,0.0641,641.0,496.8105,496.8105,10130.6332,0,0,229767.71
LoL: Ninjas in Pyjamas vs Team WE (BO3) - LPL Group Perseverance,Ninjas in Pyjamas,Team WE (BO3) - LPL Group Perseverance,2026-02-07,2026,0.6346,0.7680330730417136,-0.1334,1,NO,0.042,420.0,-99.6709,-99.6709,10030.9623,1,1,371133.23
LoL: Dplus KIA vs DRX (BO3) - LCK Cup Play-In,Dplus KIA,DRX (BO3) - LCK Cup Play-In,2026-02-07,2026,0.5046,0.256689278579814,0.2479,1,YES,0.0821,821.0,605.5587,605.5587,10636.521,1,0,480568.52
LoL: Karmine Corp vs GIANTX (BO1) - LEC Versus Regular Season,Karmine Corp,GIANTX (BO1) - LEC Versus Regular Season,2026-02-08,2026,0.6477,0.6441060687110474,0.0036,1,PASS,0.0,0.0,0.0,0.0,10636.521,1,1,257517.28
LoL: Team Vitality vs Los Ratones (BO1) - LEC Versus Regular Season,Team Vitality,Los Ratones (BO1) - LEC Versus Regular Season,2026-02-08,2026,0.4736,0.32356960154014164,0.15,1,YES,0.0535,535.0,358.3774,358.3774,10994.8983,0,0,903648.07
